location,size,total_sqft,bath,price,bhk,price_per_sqft
7th Phase JP Nagar,2 BHK,1000,2,70.65,2,7065
7th Phase JP Nagar,2 BHK,1080,2,75,2,6944.44
7th Phase JP Nagar,3 BHK,1680,3,125,3,7440.48
7th Phase JP Nagar,3 BHK,1460,2,97,3,6643.84
7th Phase JP Nagar,2 BHK,1120,2,65,2,5803.57
7th Phase JP Nagar,2 BHK,1100,3,60,2,5454.55
7th Phase JP Nagar,3 BHK,1790,3,120,3,6703.91
7th Phase JP Nagar,3 BHK,1680,3,117,3,6964.29
7th Phase JP Nagar,2 BHK,1050,2,77,2,7333.33
7th Phase JP Nagar,2 BHK,1050,2,75,2,7142.86
7th Phase JP Nagar,2 BHK,1040,2,75,2,7211.54
7th Phase JP Nagar,3 BHK,1400,2,95,3,6785.71
7th Phase JP Nagar,3 BHK,1800,3,130,3,7222.22
7th Phase JP Nagar,2 BHK,1050,2,68,2,6476.19
7th Phase JP Nagar,2 BHK,1000,2,60,2,6000
7th Phase JP Nagar,3 BHK,1680,3,125,3,7440.48
7th Phase JP Nagar,2 BHK,1050,2,77.47,2,7378.1
7th Phase JP Nagar,2 BHK,1270,2,80,2,6299.21
7th Phase JP Nagar,3 BHK,1680,3,122,3,7261.9
7th Phase JP Nagar,2 BHK,1130,2,85,2,7522.12
7th Phase JP Nagar,3 BHK,1680,3,130,3,7738.1
7th Phase JP Nagar,2 BHK,980,2,77.44,2,7902.04
7th Phase JP Nagar,3 BHK,1680,3,112,3,6666.67
7th Phase JP Nagar,3 BHK,2095,3,150,3,7159.9
7th Phase JP Nagar,3 BHK,1976,3,145,3,7338.06
7th Phase JP Nagar,3 BHK,1600,2,110,3,6875
7th Phase JP Nagar,3 BHK,1765,3,118,3,6685.55
7th Phase JP Nagar,3 BHK,1275,2,88,3,6901.96
7th Phase JP Nagar,3 BHK,1450,2,102,3,7034.48
7th Phase JP Nagar,3 BHK,1575,2,110,3,6984.13
7th Phase JP Nagar,1 BHK,750,1,47,1,6266.67
7th Phase JP Nagar,2 BHK,990,2,50,2,5050.51
7th Phase JP Nagar,1 Bedroom,1000,1,60,1,6000
7th Phase JP Nagar,3 BHK,1430,2,102,3,7132.87
7th Phase JP Nagar,2 BHK,1128,2,60,2,5319.15
7th Phase JP Nagar,2 BHK,1140,2,57,2,5000
7th Phase JP Nagar,3 BHK,1420,3,90,3,6338.03
7th Phase JP Nagar,2 BHK,1530,2,108,2,7058.82
8th Phase JP Nagar,2 BHK,1073.5,2,54.005,2,5030.74
8th Phase JP Nagar,1 BHK,451,1,29.9,1,6629.71
8th Phase JP Nagar,2 BHK,1062,2,42.47,2,3999.06
8th Phase JP Nagar,3 BHK,1455,3,73.31,3,5038.49
8th Phase JP Nagar,2 BHK,871,2,55,2,6314.58
8th Phase JP Nagar,2 BHK,1098,2,43.91,2,3999.09
8th Phase JP Nagar,3 BHK,1800,3,80,3,4444.44
8th Phase JP Nagar,4 Bedroom,2700,4,130,4,4814.81
8th Phase JP Nagar,2 BHK,1080,2,38,2,3518.52
8th Phase JP Nagar,2 BHK,1059,2,34.5,2,3257.79
8th Phase JP Nagar,2 BHK,1080,2,35,2,3240.74
8th Phase JP Nagar,2 BHK,1062,2,42.47,2,3999.06
8th Phase JP Nagar,1 BHK,500,1,31,1,6200
8th Phase JP Nagar,2 BHK,1100,2,35,2,3181.82
8th Phase JP Nagar,4 BHK,2100,4,92,4,4380.95
8th Phase JP Nagar,2 BHK,1035,2,39.33,2,3800
8th Phase JP Nagar,2 BHK,909,2,40.9,2,4499.45
8th Phase JP Nagar,3 BHK,1431.5,3,72.02,3,5031.09
8th Phase JP Nagar,3 Bedroom,1900,4,90,3,4736.84
8th Phase JP Nagar,1 BHK,500,1,30,1,6000
8th Phase JP Nagar,2 BHK,1125,2,36.94,2,3283.56
8th Phase JP Nagar,2 BHK,1100,2,35,2,3181.82
8th Phase JP Nagar,2 BHK,1089,2,43.55,2,3999.08
8th Phase JP Nagar,3 BHK,1504,2,83,3,5518.62
8th Phase JP Nagar,4 Bedroom,2600,4,115,4,4423.08
8th Phase JP Nagar,2 BHK,1089,2,43.55,2,3999.08
8th Phase JP Nagar,2 BHK,1513,2,62,2,4097.82
8th Phase JP Nagar,2 BHK,1298,2,59,2,4545.45
8th Phase JP Nagar,2 BHK,1006,2,44,2,4373.76
8th Phase JP Nagar,1 BHK,500,1,33,1,6600
8th Phase JP Nagar,2 BHK,1160,2,95,2,8189.66
8th Phase JP Nagar,2 BHK,1245,2,59,2,4738.96
8th Phase JP Nagar,2 BHK,1510,2,80,2,5298.01
8th Phase JP Nagar,3 BHK,3300,3,165,3,5000
8th Phase JP Nagar,5 Bedroom,1730,5,75,5,4335.26
8th Phase JP Nagar,2 BHK,1046,2,48,2,4588.91
8th Phase JP Nagar,3 BHK,1408,3,80,3,5681.82
9th Phase JP Nagar,2 BHK,1005,2,50,2,4975.12
9th Phase JP Nagar,2 BHK,1100,2,65,2,5909.09
9th Phase JP Nagar,2 BHK,1080,2,37,2,3425.93
9th Phase JP Nagar,2 BHK,1035,2,45,2,4347.83
9th Phase JP Nagar,4 BHK,5000,4,290,4,5800
9th Phase JP Nagar,2 BHK,1164,2,56,2,4811
9th Phase JP Nagar,2 BHK,1005,2,42,2,4179.1
9th Phase JP Nagar,2 BHK,1127,2,50,2,4436.56
9th Phase JP Nagar,2 BHK,1005,2,43,2,4278.61
9th Phase JP Nagar,2 BHK,835,2,37,2,4431.14
9th Phase JP Nagar,2 BHK,1050,2,39,2,3714.29
9th Phase JP Nagar,2 BHK,660,2,27,2,4090.91
9th Phase JP Nagar,1 BHK,600,1,20,1,3333.33
9th Phase JP Nagar,2 BHK,1466,2,71,2,4843.11
9th Phase JP Nagar,3 BHK,1890,2,93,3,4920.63
9th Phase JP Nagar,2 BHK,1079,2,60,2,5560.7
9th Phase JP Nagar,2 BHK,1480,2,80,2,5405.41
9th Phase JP Nagar,2 Bedroom,1200,2,80,2,6666.67
9th Phase JP Nagar,2 BHK,905,2,32,2,3535.91
9th Phase JP Nagar,2 BHK,1073,2,52.36,2,4879.78
9th Phase JP Nagar,3 BHK,1719.3,2,88,3,5118.36
9th Phase JP Nagar,3 BHK,1780,3,88,3,4943.82
9th Phase JP Nagar,3 BHK,1522,3,90,3,5913.27
9th Phase JP Nagar,2 BHK,890,2,45,2,5056.18
9th Phase JP Nagar,4 BHK,5000,4,300,4,6000
9th Phase JP Nagar,2 BHK,1050,2,35,2,3333.33
9th Phase JP Nagar,2 BHK,1331.95,2,69,2,5180.37
AECS Layout,2 BHK,1100,2,45,2,4090.91
AECS Layout,2 BHK,1028,2,42,2,4085.6
AECS Layout,2 BHK,1199,2,65,2,5421.18
AECS Layout,2 BHK,1080,2,55,2,5092.59
AECS Layout,2 BHK,1123,2,64,2,5699.02
AECS Layout,2 BHK,1308,2,60,2,4587.16
AECS Layout,2 BHK,1005,2,55,2,5472.64
Abbigere,2 BHK,985,2,40.39,2,4100.51
Abbigere,6 Bedroom,2200,6,68,6,3090.91
Abbigere,1 BHK,765,2,30,1,3921.57
Abbigere,2 BHK,880,2,35,2,3977.27
Abbigere,2 BHK,795,2,32.54,2,4093.08
Abbigere,2 BHK,1005,2,39.59,2,3939.3
Abbigere,1 BHK,734,1,19.82,1,2700.27
Abbigere,2 BHK,1020,2,41.82,2,4100
Abbigere,2 BHK,985,2,40.39,2,4100.51
Abbigere,6 Bedroom,2500,6,81,6,3240
Abbigere,2 BHK,795,2,32.54,2,4093.08
Abbigere,2 BHK,1130,2,46.33,2,4100
Abbigere,2 BHK,795,1,32.6,2,4100.63
Abbigere,8 Bedroom,3000,8,150,8,5000
Abbigere,2 BHK,985,2,38.92,2,3951.27
Abbigere,2 BHK,1000,2,41,2,4100
Abbigere,2 BHK,995,2,40.8,2,4100.5
Abbigere,2 BHK,1020,2,40.8,2,4000
Akshaya Nagar,2 BHK,1388,2,57,2,4106.63
Akshaya Nagar,2 BHK,1070,2,54,2,5046.73
Akshaya Nagar,2 BHK,1280,2,58,2,4531.25
Akshaya Nagar,3 BHK,1662,3,85.1,3,5120.34
Akshaya Nagar,3 BHK,1897,3,120,3,6325.78
Akshaya Nagar,3 BHK,1410,2,75,3,5319.15
Akshaya Nagar,3 BHK,1360,2,85,3,6250
Akshaya Nagar,3 BHK,1410,2,80,3,5673.76
Akshaya Nagar,3 BHK,1662,3,85,3,5114.32
Akshaya Nagar,3 BHK,1662,3,85.5,3,5144.4
Akshaya Nagar,2 BHK,1280,2,60,2,4687.5
Akshaya Nagar,3 BHK,1666,3,95,3,5702.28
Akshaya Nagar,3 BHK,1575,3,90,3,5714.29
Akshaya Nagar,3 BHK,1430,2,75,3,5244.76
Akshaya Nagar,3 BHK,1419,2,73,3,5144.47
Akshaya Nagar,2 BHK,1280,2,60,2,4687.5
Akshaya Nagar,2 BHK,1200,2,50,2,4166.67
Akshaya Nagar,2 BHK,1092,2,60,2,5494.51
Akshaya Nagar,3 BHK,1690,3,85,3,5029.59
Akshaya Nagar,3 BHK,1897,4,93,3,4902.48
Akshaya Nagar,3 BHK,1884,3,98,3,5201.7
Akshaya Nagar,2 BHK,1314,2,68.8,2,5235.92
Akshaya Nagar,3 BHK,1690,3,85,3,5029.59
Akshaya Nagar,2 BHK,1265,2,67,2,5296.44
Akshaya Nagar,2 BHK,1126,2,55,2,4884.55
Akshaya Nagar,3 BHK,1662,3,90,3,5415.16
Akshaya Nagar,3 BHK,1420,2,75,3,5281.69
Akshaya Nagar,3 BHK,1412,2,88,3,6232.29
Akshaya Nagar,3 BHK,1434,3,84,3,5857.74
Akshaya Nagar,3 BHK,1890,4,100,3,5291.01
Akshaya Nagar,3 BHK,1419,2,87,3,6131.08
Akshaya Nagar,2 BHK,1300,2,54,2,4153.85
Akshaya Nagar,3 BHK,1690,3,85,3,5029.59
Akshaya Nagar,2 BHK,1113,2,52,2,4672.06
Akshaya Nagar,3 BHK,1820,4,95,3,5219.78
Akshaya Nagar,2 BHK,1100,2,48,2,4363.64
Akshaya Nagar,3 BHK,1896,3,102,3,5379.75
Akshaya Nagar,2 BHK,1300,2,66,2,5076.92
Akshaya Nagar,2 BHK,1225,2,68,2,5551.02
Akshaya Nagar,2 BHK,1179,2,51,2,4325.7
Akshaya Nagar,3 BHK,1421,2,73,3,5137.23
Akshaya Nagar,3 BHK,1893,4,95,3,5018.49
Akshaya Nagar,2 BHK,900,2,45,2,5000
Ambalipura,2 BHK,1105,2,75,2,6787.33
Ambalipura,3 BHK,1800,3,110,3,6111.11
Ambalipura,2 BHK,1150,2,80,2,6956.52
Ambalipura,2 BHK,1250,2,66.25,2,5300
Ambalipura,2 BHK,1332,2,79,2,5930.93
Ambalipura,3 BHK,1730,3,120,3,6936.42
Ambalipura,2 BHK,1230,2,66.25,2,5386.18
Ambalipura,2 BHK,1351,2,77,2,5699.48
Ambalipura,2 BHK,1303,2,80,2,6139.68
Ambalipura,3 BHK,1607,2,112,3,6969.51
Ambalipura,1 BHK,770,1,43.82,1,5690.91
Ambalipura,2 BHK,1700,2,76,2,4470.59
Ambalipura,2 BHK,1060,2,58.5,2,5518.87
Ambalipura,3 BHK,1650,3,100,3,6060.61
Ambalipura,3 BHK,1607,2,112,3,6969.51
Ambalipura,2 BHK,1198,2,80,2,6677.8
Ambedkar Nagar,3 BHK,1935,4,130,3,6718.35
Ambedkar Nagar,2 BHK,1424,2,90,2,6320.22
Ambedkar Nagar,3 BHK,2225,4,169,3,7595.51
Ambedkar Nagar,3 BHK,1862,3,120,3,6444.68
Ambedkar Nagar,3 BHK,1850,4,139,3,7513.51
Ambedkar Nagar,3 BHK,1936,4,126,3,6508.26
Ambedkar Nagar,3 BHK,1862,3,119,3,6390.98
Ambedkar Nagar,2 BHK,1424,2,90,2,6320.22
Ambedkar Nagar,3 BHK,2150,4,125,3,5813.95
Ambedkar Nagar,4 BHK,3530,4,290,4,8215.3
Ambedkar Nagar,3 BHK,1856,3,120,3,6465.52
Ambedkar Nagar,3 BHK,1852,3,130,3,7019.44
Ambedkar Nagar,3 BHK,1850,4,120,3,6486.49
Ambedkar Nagar,2 BHK,1367,2,86,2,6291.15
Ambedkar Nagar,4 Bedroom,3565,4,255,4,7152.88
Ambedkar Nagar,2 BHK,1409,2,95,2,6742.37
Ambedkar Nagar,3 BHK,1950,4,120,3,6153.85
Ambedkar Nagar,3 BHK,1921,4,129,3,6715.25
Ambedkar Nagar,3 BHK,1920,4,121,3,6302.08
Ambedkar Nagar,3 BHK,1935,4,125,3,6459.95
Ambedkar Nagar,3 BHK,1852,4,122,3,6587.47
Ambedkar Nagar,3 BHK,1950,4,120,3,6153.85
Ambedkar Nagar,3 BHK,1852,3,125,3,6749.46
Ambedkar Nagar,3 BHK,1850,4,121,3,6540.54
Ambedkar Nagar,2 BHK,1425,2,94,2,6596.49
Ambedkar Nagar,3 BHK,2395,4,150,3,6263.05
Amruthahalli,2 BHK,900,2,40,2,4444.44
Amruthahalli,2 BHK,1200,2,55,2,4583.33
Amruthahalli,3 Bedroom,1900,3,135,3,7105.26
Amruthahalli,2 BHK,924,2,45,2,4870.13
Amruthahalli,2 BHK,900,2,60,2,6666.67
Amruthahalli,2 BHK,1100,2,45,2,4090.91
Amruthahalli,2 BHK,1200,2,55,2,4583.33
Amruthahalli,3 BHK,1450,2,85,3,5862.07
Amruthahalli,2 BHK,1200,2,55,2,4583.33
Amruthahalli,2 BHK,1250,2,79,2,6320
Amruthahalli,2 BHK,1190,2,50,2,4201.68
Amruthahalli,2 BHK,1202,2,65,2,5407.65
Amruthahalli,2 BHK,1340,2,75,2,5597.01
Amruthahalli,3 BHK,2650,4,175,3,6603.77
Amruthahalli,3 BHK,1450,2,90,3,6206.9
Amruthahalli,2 BHK,1025,2,42,2,4097.56
Amruthahalli,1 BHK,485,1,19.5,1,4020.62
Anandapura,2 BHK,1167,2,43.76,2,3749.79
Anandapura,2 Bedroom,1000,2,55,2,5500
Anandapura,2 BHK,1141,2,42.79,2,3750.22
Anandapura,2 Bedroom,1200,2,67,2,5583.33
Anandapura,2 Bedroom,1200,2,58,2,4833.33
Anandapura,2 BHK,1151,2,43.1,2,3744.57
Anandapura,2 BHK,1141,2,42.75,2,3746.71
Anandapura,2 Bedroom,900,2,48,2,5333.33
Anandapura,4 Bedroom,1749,4,90,4,5145.8
Anandapura,2 BHK,1151,2,42.9,2,3727.19
Anandapura,2 BHK,1250,2,45,2,3600
Anandapura,2 BHK,1151,2,43.16,2,3749.78
Anandapura,2 Bedroom,1200,2,58,2,4833.33
Anandapura,3 Bedroom,1200,2,66,3,5500
Anandapura,3 Bedroom,1415,2,74,3,5229.68
Anandapura,2 BHK,1200,2,50,2,4166.67
Anandapura,2 BHK,1141,2,50,2,4382.12
Ananth Nagar,1 BHK,500,1,14,1,2800
Ananth Nagar,2 BHK,1100,2,31.5,2,2863.64
Ananth Nagar,2 BHK,982,2,24.55,2,2500
Ananth Nagar,1 BHK,500,2,14,1,2800
Ananth Nagar,2 BHK,900,2,22.5,2,2500
Ananth Nagar,2 BHK,908,2,26,2,2863.44
Ananth Nagar,2 BHK,870,2,36,2,4137.93
Ananth Nagar,2 BHK,937,2,35,2,3735.33
Ananth Nagar,2 BHK,960,2,37,2,3854.17
Ananth Nagar,1 BHK,500,1,14,1,2800
Ananth Nagar,2 BHK,1000,2,29.7,2,2970
Ananth Nagar,2 BHK,850,2,25.99,2,3057.65
Ananth Nagar,2 BHK,902,2,25.26,2,2800.44
Ananth Nagar,3 BHK,1470,3,54,3,3673.47
Ananth Nagar,2 BHK,810,2,25.5,2,3148.15
Ananth Nagar,2 BHK,890,2,27,2,3033.71
Ananth Nagar,2 BHK,1200,2,36,2,3000
Ananth Nagar,3 BHK,1319,3,42,3,3184.23
Ananth Nagar,2 BHK,1000,2,25,2,2500
Ananth Nagar,2 BHK,902,2,25,2,2771.62
Ananth Nagar,2 BHK,930,2,25.99,2,2794.62
Ananth Nagar,2 BHK,1074,2,26.85,2,2500
Ananth Nagar,1 BHK,500,1,14,1,2800
Ananth Nagar,2 BHK,1010,2,38,2,3762.38
Ananth Nagar,2 BHK,992,2,24.8,2,2500
Anekal,2 BHK,656,2,22,2,3353.66
Anekal,2 BHK,620,2,22,2,3548.39
Anekal,1 BHK,600,1,16.5,1,2750
Anekal,2 BHK,925,2,40,2,4324.32
Anekal,1 BHK,530,1,18,1,3396.23
Anekal,3 Bedroom,1800,3,68,3,3777.78
Anekal,1 RK,351,1,16,1,4558.4
Anekal,2 BHK,1035,2,38.3,2,3700.48
Anekal,2 BHK,888,2,34,2,3828.83
Anekal,4 Bedroom,1200,2,36,4,3000
Anekal,2 BHK,766,2,28,2,3655.35
Anekal,3 BHK,967,2,45,3,4653.57
Anekal,2 BHK,620,1,23.5,2,3790.32
Anekal,3 BHK,1150,3,45,3,3913.04
Anekal,1 BHK,400,1,11.5,1,2875
Anekal,1 BHK,456,1,15,1,3289.47
Anekal,3 Bedroom,2400,4,95,3,3958.33
Anekal,1 BHK,420,1,12.5,1,2976.19
Anekal,2 BHK,614,1,28,2,4560.26
Anekal,2 BHK,1140,2,52,2,4561.4
Anekal,2 BHK,625,1,25,2,4000
Anjanapura,4 BHK,1850,4,86,4,4648.65
Anjanapura,2 BHK,1070,2,39,2,3644.86
Anjanapura,3 Bedroom,1500,3,121,3,8066.67
Anjanapura,2 BHK,1070,2,37,2,3457.94
Anjanapura,2 BHK,950,2,40,2,4210.53
Anjanapura,3 BHK,1280,2,45,3,3515.62
Anjanapura,2 BHK,710,2,25,2,3521.13
Anjanapura,2 BHK,950,2,32,2,3368.42
Anjanapura,4 BHK,1800,4,55,4,3055.56
Anjanapura,3 BHK,1843,3,87.54,3,4749.86
Anjanapura,2 BHK,1076,2,30.13,2,2800.19
Anjanapura,2 BHK,950,2,30,2,3157.89
Ardendale,3 BHK,1750,3,100,3,5714.29
Ardendale,4 BHK,3198,4,200,4,6253.91
Ardendale,4 BHK,2422,4,160,4,6606.11
Ardendale,3 BHK,1750,3,100,3,5714.29
Ardendale,4 Bedroom,3200,4,205,4,6406.25
Ardendale,3 BHK,1728,3,95,3,5497.69
Ardendale,4 BHK,2062,3,140,4,6789.52
Ardendale,3 BHK,1732.46,3,92,3,5310.37
Ardendale,4 BHK,2062,3,150,4,7274.49
Ardendale,2 BHK,1224,2,70,2,5718.95
Ardendale,3 BHK,1777.26,3,105,3,5907.97
Ardendale,3 BHK,1650,3,82,3,4969.7
Ardendale,4 BHK,2062,3,140,4,6789.52
Ardendale,3 BHK,1650,3,82,3,4969.7
Ardendale,2 BHK,1224,2,67,2,5473.86
Ardendale,3 BHK,1723,3,95,3,5513.64
Ardendale,3 BHK,1777.26,3,89,3,5007.71
Ardendale,3 BHK,1777.26,3,92,3,5176.51
Arekere,3 BHK,2060,3,140,3,6796.12
Arekere,2 BHK,920,2,40,2,4347.83
Arekere,3 BHK,1740,2,95,3,5459.77
Arekere,2 BHK,1190,2,55,2,4621.85
Arekere,1 BHK,600,1,28,1,4666.67
Arekere,3 BHK,2072,3,108,3,5212.36
Arekere,2 BHK,1100,2,55,2,5000
Arekere,2 BHK,900,2,50,2,5555.56
Arekere,4 BHK,2710,6,142,4,5239.85
Arekere,2 BHK,1240,2,60,2,4838.71
Arekere,2 BHK,900,2,44.5,2,4944.44
Attibele,1 BHK,450,1,11,1,2444.44
Attibele,4 Bedroom,1600,4,52.8,4,3300
